trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,0,demo,0,0,0,45
1,0,0,catch,1,0,0,45
2,0,0,seq,2,1,0,45
3,0,0,catch,2,0,0,45
4,0,0,seq,0,0,0,45
5,0,0,seq,1,1,0,45
6,1,2,demo,0,0,0,90
7,1,2,seq,2,0,0,90
8,1,2,seq,1,0,0,90
9,1,2,catch,0,0,0,90
10,1,2,seq,2,1,0,90
11,1,2,catch,1,0,0,90
12,2,2,demo,0,0,0,45
13,2,2,seq,0,1,0,45
14,2,2,catch,2,0,0,45
15,2,2,seq,2,0,0,45
16,2,2,seq,1,0,0,45
17,2,2,catch,1,0,0,45
18,3,1,demo,2,0,45,135
19,3,1,catch,0,0,45,135
20,3,1,seq,1,0,45,135
21,3,1,seq,0,0,45,135
22,3,1,catch,2,0,45,135
23,3,1,seq,1,0,45,135
24,3,1,rest,0,0,45,135
25,4,1,demo,1,0,45,135
26,4,1,seq,2,0,45,135
27,4,1,seq,0,0,45,135
28,4,1,catch,2,0,45,135
29,4,1,seq,1,0,45,135
30,4,1,catch,0,0,45,135
31,5,0,demo,2,0,90,45
32,5,0,catch,2,0,90,45
33,5,0,seq,1,0,90,45
34,5,0,catch,0,0,90,45
35,5,0,seq,0,0,90,45
36,5,0,seq,1,0,90,45
37,6,0,demo,0,0,135,0
38,6,0,seq,2,0,135,0
39,6,0,seq,0,1,135,0
40,6,0,catch,1,0,135,0
41,6,0,catch,2,0,135,0
42,6,0,seq,1,0,135,0
43,6,0,rest,0,0,135,0
44,7,1,demo,2,0,135,45
45,7,1,catch,0,0,135,45
46,7,1,catch,0,0,135,45
47,7,1,seq,1,0,135,45
48,7,1,seq,2,0,135,45
49,7,1,seq,1,0,135,45
50,8,2,demo,0,0,90,135
51,8,2,catch,0,0,90,135
52,8,2,seq,2,0,90,135
53,8,2,seq,1,0,90,135
54,8,2,catch,2,0,90,135
55,8,2,seq,1,1,90,135
56,9,0,demo,1,0,90,0
57,9,0,seq,0,1,90,0
58,9,0,seq,2,0,90,0
59,9,0,seq,1,0,90,0
60,9,0,catch,2,0,90,0
61,9,0,catch,0,0,90,0
62,9,0,rest,0,0,90,0
63,10,2,demo,1,0,0,90
64,10,2,catch,0,0,0,90
65,10,2,seq,2,0,0,90
66,10,2,catch,1,0,0,90
67,10,2,seq,2,1,0,90
68,10,2,seq,0,0,0,90
69,11,1,demo,1,0,45,0
70,11,1,seq,2,0,45,0
71,11,1,seq,1,0,45,0
72,11,1,catch,0,0,45,0
73,11,1,seq,2,1,45,0
74,11,1,catch,0,0,45,0
