trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,2,demo,2,0,0,90
1,0,2,seq,0,1,0,90
2,0,2,catch,0,0,0,90
3,0,2,seq,2,0,0,90
4,0,2,seq,1,0,0,90
5,0,2,catch,1,0,0,90
6,1,0,demo,2,0,0,135
7,1,0,catch,0,0,0,135
8,1,0,seq,1,0,0,135
9,1,0,catch,0,0,0,135
10,1,0,seq,2,0,0,135
11,1,0,seq,1,0,0,135
12,2,0,demo,2,0,0,135
13,2,0,catch,0,0,0,135
14,2,0,seq,2,1,0,135
15,2,0,seq,0,0,0,135
16,2,0,seq,1,0,0,135
17,2,0,catch,1,0,0,135
18,3,1,demo,1,0,0,45
19,3,1,catch,0,0,0,45
20,3,1,catch,2,0,0,45
21,3,1,seq,0,0,0,45
22,3,1,seq,2,1,0,45
23,3,1,seq,1,0,0,45
24,3,1,rest,0,0,0,45
25,4,1,demo,2,0,0,45
26,4,1,seq,1,0,0,45
27,4,1,seq,0,0,0,45
28,4,1,catch,0,0,0,45
29,4,1,seq,1,0,0,45
30,4,1,catch,2,0,0,45
31,5,2,demo,0,0,90,45
32,5,2,seq,1,0,90,45
33,5,2,catch,2,0,90,45
34,5,2,catch,2,0,90,45
35,5,2,seq,1,0,90,45
36,5,2,seq,0,0,90,45
37,6,0,demo,2,0,135,0
38,6,0,seq,1,1,135,0
39,6,0,seq,0,0,135,0
40,6,0,catch,2,0,135,0
41,6,0,catch,0,0,135,0
42,6,0,seq,1,0,135,0
43,6,0,rest,0,0,135,0
44,7,2,demo,2,0,45,90
45,7,2,seq,1,0,45,90
46,7,2,seq,1,0,45,90
47,7,2,catch,0,0,45,90
48,7,2,catch,2,0,45,90
49,7,2,seq,0,1,45,90
50,8,2,demo,1,0,135,90
51,8,2,catch,2,0,135,90
52,8,2,seq,0,1,135,90
53,8,2,catch,2,0,135,90
54,8,2,seq,0,0,135,90
55,8,2,seq,1,1,135,90
56,9,1,demo,0,0,90,0
57,9,1,seq,0,0,90,0
58,9,1,catch,2,0,90,0
59,9,1,seq,1,0,90,0
60,9,1,catch,2,0,90,0
61,9,1,seq,1,1,90,0
62,9,1,rest,0,0,90,0
63,10,1,demo,2,0,135,45
64,10,1,catch,0,0,135,45
65,10,1,catch,1,0,135,45
66,10,1,seq,1,0,135,45
67,10,1,seq,2,1,135,45
68,10,1,seq,0,0,135,45
69,11,0,demo,0,0,0,45
70,11,0,seq,0,0,0,45
71,11,0,catch,2,0,0,45
72,11,0,seq,1,0,0,45
73,11,0,seq,1,0,0,45
74,11,0,catch,2,0,0,45
