trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,0,demo,2,0,90,0
1,0,0,seq,0,0,90,0
2,0,0,seq,1,0,90,0
3,0,0,catch,0,0,90,0
4,0,0,seq,1,0,90,0
5,0,0,catch,2,0,90,0
6,1,1,demo,0,0,90,45
7,1,1,seq,1,0,90,45
8,1,1,catch,0,0,90,45
9,1,1,seq,2,1,90,45
10,1,1,catch,1,0,90,45
11,1,1,seq,2,0,90,45
12,2,2,demo,1,0,135,45
13,2,2,seq,0,0,135,45
14,2,2,seq,2,1,135,45
15,2,2,catch,1,0,135,45
16,2,2,catch,0,0,135,45
17,2,2,seq,2,1,135,45
18,2,2,rest,0,0,135,45
19,3,1,demo,2,0,45,135
20,3,1,seq,1,0,45,135
21,3,1,catch,2,0,45,135
22,3,1,seq,0,0,45,135
23,3,1,catch,0,0,45,135
24,3,1,seq,1,0,45,135
25,4,2,demo,1,0,135,45
26,4,2,seq,0,0,135,45
27,4,2,catch,2,0,135,45
28,4,2,seq,2,0,135,45
29,4,2,seq,1,1,135,45
30,4,2,catch,0,0,135,45
31,5,0,demo,1,0,45,0
32,5,0,seq,2,1,45,0
33,5,0,seq,0,0,45,0
34,5,0,catch,0,0,45,0
35,5,0,seq,1,1,45,0
36,5,0,catch,2,0,45,0
37,5,0,rest,0,0,45,0
38,6,0,demo,2,0,90,45
39,6,0,seq,0,1,90,45
40,6,0,catch,2,0,90,45
41,6,0,seq,0,0,90,45
42,6,0,catch,1,0,90,45
43,6,0,seq,1,0,90,45
44,7,2,demo,1,0,90,45
45,7,2,catch,0,0,90,45
46,7,2,catch,1,0,90,45
47,7,2,seq,0,0,90,45
48,7,2,seq,2,1,90,45
49,7,2,seq,2,0,90,45
50,8,1,demo,1,0,45,0
51,8,1,catch,1,0,45,0
52,8,1,catch,2,0,45,0
53,8,1,seq,2,0,45,0
54,8,1,seq,0,1,45,0
55,8,1,seq,0,0,45,0
56,8,1,rest,0,0,45,0
