trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,1,demo,2,0,45,90
1,0,1,seq,1,0,45,90
2,0,1,seq,0,0,45,90
3,0,1,seq,1,1,45,90
4,0,1,catch,2,0,45,90
5,0,1,catch,0,0,45,90
6,1,2,demo,2,0,135,45
7,1,2,catch,1,0,135,45
8,1,2,seq,2,1,135,45
9,1,2,seq,0,0,135,45
10,1,2,seq,0,1,135,45
11,1,2,catch,1,0,135,45
12,2,0,demo,0,0,0,135
13,2,0,catch,2,0,0,135
14,2,0,catch,2,0,0,135
15,2,0,seq,1,0,0,135
16,2,0,seq,0,0,0,135
17,2,0,seq,1,0,0,135
18,2,0,rest,0,0,0,135
19,3,0,demo,2,0,0,135
20,3,0,seq,2,0,0,135
21,3,0,seq,0,0,0,135
22,3,0,seq,1,1,0,135
23,3,0,catch,0,0,0,135
24,3,0,catch,1,0,0,135
25,4,1,demo,0,0,0,90
26,4,1,seq,2,1,0,90
27,4,1,catch,2,0,0,90
28,4,1,seq,1,0,0,90
29,4,1,seq,1,0,0,90
30,4,1,catch,0,0,0,90
31,5,2,demo,1,0,135,0
32,5,2,seq,2,0,135,0
33,5,2,seq,2,1,135,0
34,5,2,catch,0,0,135,0
35,5,2,seq,0,0,135,0
36,5,2,catch,1,0,135,0
37,5,2,rest,0,0,135,0
38,6,2,demo,2,0,135,90
39,6,2,catch,1,0,135,90
40,6,2,seq,2,0,135,90
41,6,2,catch,0,0,135,90
42,6,2,seq,0,0,135,90
43,6,2,seq,1,0,135,90
44,7,0,demo,0,0,135,0
45,7,0,catch,1,0,135,0
46,7,0,catch,2,0,135,0
47,7,0,seq,1,0,135,0
48,7,0,seq,0,1,135,0
49,7,0,seq,2,1,135,0
50,8,1,demo,0,0,45,0
51,8,1,catch,0,0,45,0
52,8,1,seq,1,0,45,0
53,8,1,seq,1,1,45,0
54,8,1,seq,2,0,45,0
55,8,1,catch,2,0,45,0
56,8,1,rest,0,0,45,0
