trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,2,demo,2,0,90,45
1,0,2,catch,1,0,90,45
2,0,2,catch,0,0,90,45
3,0,2,seq,2,0,90,45
4,0,2,seq,1,1,90,45
5,0,2,seq,0,0,90,45
6,1,0,demo,0,0,90,135
7,1,0,seq,2,1,90,135
8,1,0,seq,2,0,90,135
9,1,0,catch,0,0,90,135
10,1,0,seq,1,0,90,135
11,1,0,catch,1,0,90,135
12,2,1,demo,1,0,90,0
13,2,1,catch,0,0,90,0
14,2,1,catch,2,0,90,0
15,2,1,seq,0,0,90,0
16,2,1,seq,1,0,90,0
17,2,1,seq,2,1,90,0
18,3,2,demo,2,0,135,0
19,3,2,catch,1,0,135,0
20,3,2,catch,0,0,135,0
21,3,2,seq,1,0,135,0
22,3,2,seq,0,0,135,0
23,3,2,seq,2,0,135,0
24,3,2,rest,0,0,135,0
25,4,2,demo,2,0,0,135
26,4,2,catch,0,0,0,135
27,4,2,seq,1,0,0,135
28,4,2,catch,2,0,0,135
29,4,2,seq,0,0,0,135
30,4,2,seq,1,1,0,135
31,5,1,demo,0,0,45,90
32,5,1,seq,0,0,45,90
33,5,1,catch,2,0,45,90
34,5,1,catch,1,0,45,90
35,5,1,seq,2,0,45,90
36,5,1,seq,1,0,45,90
37,6,0,demo,0,0,90,0
38,6,0,catch,0,0,90,0
39,6,0,seq,1,0,90,0
40,6,0,catch,1,0,90,0
41,6,0,seq,2,0,90,0
42,6,0,seq,2,1,90,0
43,6,0,rest,0,0,90,0
44,7,0,demo,1,0,90,45
45,7,0,catch,0,0,90,45
46,7,0,seq,0,0,90,45
47,7,0,seq,2,0,90,45
48,7,0,catch,2,0,90,45
49,7,0,seq,1,0,90,45
50,8,2,demo,0,0,0,90
51,8,2,seq,2,0,0,90
52,8,2,catch,0,0,0,90
53,8,2,seq,1,1,0,90
54,8,2,seq,2,0,0,90
55,8,2,catch,1,0,0,90
56,9,0,demo,1,0,90,0
57,9,0,seq,2,0,90,0
58,9,0,seq,2,1,90,0
59,9,0,catch,0,0,90,0
60,9,0,seq,0,0,90,0
61,9,0,catch,1,0,90,0
62,9,0,rest,0,0,90,0
63,10,1,demo,1,0,45,90
64,10,1,catch,0,0,45,90
65,10,1,seq,0,0,45,90
66,10,1,catch,1,0,45,90
67,10,1,seq,2,0,45,90
68,10,1,seq,2,1,45,90
69,11,1,demo,1,0,45,0
70,11,1,seq,2,0,45,0
71,11,1,catch,0,0,45,0
72,11,1,seq,2,1,45,0
73,11,1,catch,1,0,45,0
74,11,1,seq,0,0,45,0
