trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,2,demo,0,0,135,0
1,0,2,seq,2,0,135,0
2,0,2,seq,0,0,135,0
3,0,2,catch,2,0,135,0
4,0,2,catch,1,0,135,0
5,0,2,seq,1,0,135,0
6,1,1,demo,2,0,90,135
7,1,1,seq,1,0,90,135
8,1,1,seq,2,1,90,135
9,1,1,catch,0,0,90,135
10,1,1,catch,1,0,90,135
11,1,1,seq,0,0,90,135
12,2,1,demo,2,0,90,0
13,2,1,catch,2,0,90,0
14,2,1,seq,1,1,90,0
15,2,1,catch,1,0,90,0
16,2,1,seq,0,0,90,0
17,2,1,seq,0,0,90,0
18,3,2,demo,0,0,135,45
19,3,2,seq,2,0,135,45
20,3,2,seq,1,0,135,45
21,3,2,catch,0,0,135,45
22,3,2,catch,1,0,135,45
23,3,2,seq,2,0,135,45
24,3,2,rest,0,0,135,45
25,4,0,demo,1,0,0,45
26,4,0,catch,0,0,0,45
27,4,0,catch,0,0,0,45
28,4,0,seq,2,0,0,45
29,4,0,seq,2,0,0,45
30,4,0,seq,1,0,0,45
31,5,2,demo,1,0,90,135
32,5,2,seq,0,1,90,135
33,5,2,catch,2,0,90,135
34,5,2,catch,2,0,90,135
35,5,2,seq,0,1,90,135
36,5,2,seq,1,0,90,135
37,6,2,demo,0,0,90,0
38,6,2,seq,1,0,90,0
39,6,2,seq,2,0,90,0
40,6,2,catch,2,0,90,0
41,6,2,seq,0,0,90,0
42,6,2,catch,1,0,90,0
43,6,2,rest,0,0,90,0
44,7,0,demo,2,0,135,0
45,7,0,catch,0,0,135,0
46,7,0,seq,2,0,135,0
47,7,0,seq,1,0,135,0
48,7,0,seq,1,1,135,0
49,7,0,catch,0,0,135,0
50,8,1,demo,0,0,45,90
51,8,1,catch,1,0,45,90
52,8,1,seq,1,0,45,90
53,8,1,seq,2,0,45,90
54,8,1,seq,2,0,45,90
55,8,1,catch,0,0,45,90
56,9,1,demo,0,0,90,135
57,9,1,seq,2,0,90,135
58,9,1,catch,1,0,90,135
59,9,1,seq,0,1,90,135
60,9,1,seq,1,1,90,135
61,9,1,catch,2,0,90,135
62,9,1,rest,0,0,90,135
63,10,0,demo,0,0,45,0
64,10,0,catch,1,0,45,0
65,10,0,seq,2,1,45,0
66,10,0,catch,1,0,45,0
67,10,0,seq,2,0,45,0
68,10,0,seq,0,1,45,0
69,11,0,demo,2,0,90,135
70,11,0,catch,2,0,90,135
71,11,0,seq,1,0,90,135
72,11,0,catch,1,0,90,135
73,11,0,seq,0,0,90,135
74,11,0,seq,0,0,90,135
