trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,2,demo,1,0,135,90
1,0,2,seq,0,0,135,90
2,0,2,seq,1,0,135,90
3,0,2,catch,2,0,135,90
4,0,2,catch,0,0,135,90
5,0,2,seq,2,1,135,90
6,1,0,demo,2,0,135,45
7,1,0,seq,1,0,135,45
8,1,0,catch,0,0,135,45
9,1,0,catch,0,0,135,45
10,1,0,seq,2,0,135,45
11,1,0,seq,1,0,135,45
12,2,1,demo,2,0,90,45
13,2,1,catch,0,0,90,45
14,2,1,catch,1,0,90,45
15,2,1,seq,1,1,90,45
16,2,1,seq,0,0,90,45
17,2,1,seq,2,1,90,45
18,2,1,rest,0,0,90,45
19,3,2,demo,2,0,0,90
20,3,2,seq,2,1,0,90
21,3,2,catch,0,0,0,90
22,3,2,seq,1,0,0,90
23,3,2,seq,1,1,0,90
24,3,2,catch,0,0,0,90
25,4,0,demo,2,0,135,90
26,4,0,seq,2,0,135,90
27,4,0,catch,1,0,135,90
28,4,0,seq,1,0,135,90
29,4,0,seq,0,0,135,90
30,4,0,catch,0,0,135,90
31,5,1,demo,2,0,45,0
32,5,1,seq,0,1,45,0
33,5,1,catch,0,0,45,0
34,5,1,seq,1,0,45,0
35,5,1,catch,1,0,45,0
36,5,1,seq,2,0,45,0
37,5,1,rest,0,0,45,0
38,6,1,demo,2,0,90,0
39,6,1,seq,0,1,90,0
40,6,1,catch,0,0,90,0
41,6,1,catch,2,0,90,0
42,6,1,seq,1,0,90,0
43,6,1,seq,1,0,90,0
44,7,0,demo,2,0,45,135
45,7,0,catch,1,0,45,135
46,7,0,seq,0,0,45,135
47,7,0,catch,0,0,45,135
48,7,0,seq,2,1,45,135
49,7,0,seq,1,0,45,135
50,8,2,demo,2,0,135,0
51,8,2,seq,0,1,135,0
52,8,2,seq,0,0,135,0
53,8,2,catch,1,0,135,0
54,8,2,catch,1,0,135,0
55,8,2,seq,2,0,135,0
56,8,2,rest,0,0,135,0
