trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,2,demo,0,0,0,90
1,0,2,seq,2,1,0,90
2,0,2,catch,1,0,0,90
3,0,2,seq,0,0,0,90
4,0,2,seq,2,1,0,90
5,0,2,catch,1,0,0,90
6,1,1,demo,1,0,0,135
7,1,1,catch,0,0,0,135
8,1,1,seq,1,0,0,135
9,1,1,seq,0,0,0,135
10,1,1,seq,2,1,0,135
11,1,1,catch,2,0,0,135
12,2,1,demo,0,0,45,90
13,2,1,seq,1,0,45,90
14,2,1,seq,2,0,45,90
15,2,1,seq,2,0,45,90
16,2,1,catch,1,0,45,90
17,2,1,catch,0,0,45,90
18,3,2,demo,0,0,90,45
19,3,2,seq,1,0,90,45
20,3,2,seq,2,0,90,45
21,3,2,catch,0,0,90,45
22,3,2,seq,1,1,90,45
23,3,2,catch,2,0,90,45
24,3,2,rest,0,0,90,45
25,4,2,demo,2,0,90,45
26,4,2,seq,1,0,90,45
27,4,2,catch,0,0,90,45
28,4,2,seq,0,0,90,45
29,4,2,catch,1,0,90,45
30,4,2,seq,2,0,90,45
31,5,0,demo,0,0,90,0
32,5,0,seq,2,1,90,0
33,5,0,catch,2,0,90,0
34,5,0,catch,1,0,90,0
35,5,0,seq,1,0,90,0
36,5,0,seq,0,0,90,0
37,6,0,demo,1,0,90,135
38,6,0,seq,0,0,90,135
39,6,0,seq,2,0,90,135
40,6,0,seq,0,0,90,135
41,6,0,catch,1,0,90,135
42,6,0,catch,2,0,90,135
43,6,0,rest,0,0,90,135
44,7,2,demo,0,0,90,45
45,7,2,catch,1,0,90,45
46,7,2,seq,1,0,90,45
47,7,2,catch,2,0,90,45
48,7,2,seq,2,0,90,45
49,7,2,seq,0,1,90,45
50,8,1,demo,1,0,90,45
51,8,1,seq,0,0,90,45
52,8,1,seq,2,0,90,45
53,8,1,catch,0,0,90,45
54,8,1,seq,1,0,90,45
55,8,1,catch,2,0,90,45
56,9,0,demo,0,0,135,0
57,9,0,catch,2,0,135,0
58,9,0,seq,1,1,135,0
59,9,0,seq,0,0,135,0
60,9,0,seq,1,0,135,0
61,9,0,catch,2,0,135,0
62,9,0,rest,0,0,135,0
63,10,0,demo,0,0,135,0
64,10,0,seq,2,0,135,0
65,10,0,seq,2,0,135,0
66,10,0,catch,0,0,135,0
67,10,0,catch,1,0,135,0
68,10,0,seq,1,1,135,0
69,11,1,demo,1,0,90,45
70,11,1,seq,2,0,90,45
71,11,1,catch,0,0,90,45
72,11,1,catch,0,0,90,45
73,11,1,seq,2,1,90,45
74,11,1,seq,1,0,90,45
