trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,2,demo,2,0,0,45
1,0,2,catch,2,0,0,45
2,0,2,catch,0,0,0,45
3,0,2,seq,1,0,0,45
4,0,2,seq,0,0,0,45
5,0,2,seq,1,0,0,45
6,1,1,demo,0,0,90,45
7,1,1,catch,1,0,90,45
8,1,1,catch,0,0,90,45
9,1,1,seq,1,0,90,45
10,1,1,seq,2,0,90,45
11,1,1,seq,2,1,90,45
12,2,2,demo,1,0,90,135
13,2,2,catch,2,0,90,135
14,2,2,catch,1,0,90,135
15,2,2,seq,0,0,90,135
16,2,2,seq,0,0,90,135
17,2,2,seq,2,1,90,135
18,3,0,demo,1,0,90,135
19,3,0,seq,0,0,90,135
20,3,0,catch,2,0,90,135
21,3,0,seq,2,0,90,135
22,3,0,seq,0,0,90,135
23,3,0,catch,1,0,90,135
24,3,0,rest,0,0,90,135
25,4,1,demo,0,0,0,135
26,4,1,seq,2,0,0,135
27,4,1,catch,1,0,0,135
28,4,1,seq,2,1,0,135
29,4,1,seq,0,1,0,135
30,4,1,catch,1,0,0,135
31,5,1,demo,0,0,0,135
32,5,1,catch,1,0,0,135
33,5,1,seq,2,0,0,135
34,5,1,seq,0,0,0,135
35,5,1,catch,1,0,0,135
36,5,1,seq,2,0,0,135
37,6,0,demo,2,0,135,0
38,6,0,seq,2,1,135,0
39,6,0,catch,0,0,135,0
40,6,0,catch,1,0,135,0
41,6,0,seq,1,0,135,0
42,6,0,seq,0,1,135,0
43,6,0,rest,0,0,135,0
44,7,1,demo,1,0,45,90
45,7,1,seq,2,0,45,90
46,7,1,seq,0,0,45,90
47,7,1,catch,2,0,45,90
48,7,1,seq,0,1,45,90
49,7,1,catch,1,0,45,90
50,8,0,demo,0,0,90,0
51,8,0,seq,0,1,90,0
52,8,0,catch,1,0,90,0
53,8,0,catch,2,0,90,0
54,8,0,seq,1,0,90,0
55,8,0,seq,2,0,90,0
56,9,0,demo,2,0,90,0
57,9,0,catch,0,0,90,0
58,9,0,seq,1,0,90,0
59,9,0,seq,2,0,90,0
60,9,0,seq,0,0,90,0
61,9,0,catch,1,0,90,0
62,9,0,rest,0,0,90,0
63,10,2,demo,1,0,45,0
64,10,2,catch,0,0,45,0
65,10,2,seq,0,1,45,0
66,10,2,catch,1,0,45,0
67,10,2,seq,2,0,45,0
68,10,2,seq,2,0,45,0
69,11,2,demo,0,0,135,0
70,11,2,catch,2,0,135,0
71,11,2,seq,1,0,135,0
72,11,2,seq,2,0,135,0
73,11,2,catch,1,0,135,0
74,11,2,seq,0,0,135,0
