trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,1,demo,2,0,135,90
1,0,1,seq,1,0,135,90
2,0,1,seq,2,0,135,90
3,0,1,seq,0,0,135,90
4,0,1,catch,1,0,135,90
5,0,1,catch,0,0,135,90
6,1,0,demo,0,0,45,135
7,1,0,catch,1,0,45,135
8,1,0,seq,2,0,45,135
9,1,0,seq,1,0,45,135
10,1,0,catch,2,0,45,135
11,1,0,seq,0,0,45,135
12,2,1,demo,1,0,0,90
13,2,1,seq,0,0,0,90
14,2,1,seq,1,0,0,90
15,2,1,catch,0,0,0,90
16,2,1,catch,2,0,0,90
17,2,1,seq,2,0,0,90
18,3,2,demo,1,0,135,90
19,3,2,seq,1,0,135,90
20,3,2,catch,0,0,135,90
21,3,2,catch,0,0,135,90
22,3,2,seq,2,1,135,90
23,3,2,seq,2,0,135,90
24,3,2,rest,0,0,135,90
25,4,1,demo,2,0,90,135
26,4,1,catch,2,0,90,135
27,4,1,catch,0,0,90,135
28,4,1,seq,1,0,90,135
29,4,1,seq,1,0,90,135
30,4,1,seq,0,0,90,135
31,5,1,demo,0,0,45,135
32,5,1,catch,0,0,45,135
33,5,1,seq,1,0,45,135
34,5,1,seq,1,1,45,135
35,5,1,seq,2,1,45,135
36,5,1,catch,2,0,45,135
37,6,2,demo,2,0,0,135
38,6,2,seq,0,0,0,135
39,6,2,seq,2,0,0,135
40,6,2,catch,0,0,0,135
41,6,2,seq,1,1,0,135
42,6,2,catch,1,0,0,135
43,6,2,rest,0,0,0,135
44,7,2,demo,1,0,45,135
45,7,2,catch,2,0,45,135
46,7,2,seq,2,1,45,135
47,7,2,seq,0,0,45,135
48,7,2,seq,1,0,45,135
49,7,2,catch,0,0,45,135
50,8,0,demo,2,0,45,90
51,8,0,seq,1,1,45,90
52,8,0,seq,2,0,45,90
53,8,0,catch,0,0,45,90
54,8,0,seq,0,0,45,90
55,8,0,catch,1,0,45,90
56,9,0,demo,2,0,0,90
57,9,0,catch,0,0,0,90
58,9,0,seq,1,0,0,90
59,9,0,seq,1,0,0,90
60,9,0,seq,0,1,0,90
61,9,0,catch,2,0,0,90
62,9,0,rest,0,0,0,90
63,10,2,demo,2,0,90,135
64,10,2,seq,2,0,90,135
65,10,2,seq,1,1,90,135
66,10,2,catch,1,0,90,135
67,10,2,seq,0,1,90,135
68,10,2,catch,0,0,90,135
69,11,0,demo,0,0,0,45
70,11,0,seq,0,0,0,45
71,11,0,catch,1,0,0,45
72,11,0,seq,2,0,0,45
73,11,0,catch,2,0,0,45
74,11,0,seq,1,0,0,45
