trial,block,cat_id,ev_type,iti,oddball,ori_a,ori_b
0,0,0,demo,0,0,45,135
1,0,0,seq,2,0,45,135
2,0,0,catch,1,0,45,135
3,0,0,catch,2,0,45,135
4,0,0,seq,0,1,45,135
5,0,0,seq,1,1,45,135
6,1,2,demo,2,0,0,135
7,1,2,seq,0,0,0,135
8,1,2,seq,2,1,0,135
9,1,2,catch,1,0,0,135
10,1,2,seq,1,0,0,135
11,1,2,catch,0,0,0,135
12,2,2,demo,1,0,135,90
13,2,2,catch,0,0,135,90
14,2,2,seq,1,0,135,90
15,2,2,seq,0,0,135,90
16,2,2,seq,2,1,135,90
17,2,2,catch,2,0,135,90
18,3,0,demo,2,0,45,90
19,3,0,seq,0,1,45,90
20,3,0,catch,1,0,45,90
21,3,0,catch,0,0,45,90
22,3,0,seq,2,0,45,90
23,3,0,seq,1,0,45,90
24,3,0,rest,0,0,45,90
25,4,1,demo,2,0,0,90
26,4,1,catch,1,0,0,90
27,4,1,seq,0,1,0,90
28,4,1,catch,1,0,0,90
29,4,1,seq,0,0,0,90
30,4,1,seq,2,0,0,90
31,5,1,demo,1,0,135,90
32,5,1,seq,2,0,135,90
33,5,1,catch,1,0,135,90
34,5,1,seq,2,0,135,90
35,5,1,seq,0,0,135,90
36,5,1,catch,0,0,135,90
37,6,2,demo,2,0,90,0
38,6,2,seq,1,0,90,0
39,6,2,catch,0,0,90,0
40,6,2,seq,2,0,90,0
41,6,2,seq,1,1,90,0
42,6,2,catch,0,0,90,0
43,6,2,rest,0,0,90,0
44,7,2,demo,2,0,90,0
45,7,2,catch,0,0,90,0
46,7,2,seq,2,0,90,0
47,7,2,seq,1,1,90,0
48,7,2,seq,1,0,90,0
49,7,2,catch,0,0,90,0
50,8,1,demo,1,0,45,135
51,8,1,catch,0,0,45,135
52,8,1,seq,2,0,45,135
53,8,1,seq,0,0,45,135
54,8,1,seq,2,1,45,135
55,8,1,catch,1,0,45,135
56,9,0,demo,2,0,0,135
57,9,0,seq,1,0,0,135
58,9,0,catch,2,0,0,135
59,9,0,seq,1,0,0,135
60,9,0,catch,0,0,0,135
61,9,0,seq,0,0,0,135
62,9,0,rest,0,0,0,135
63,10,0,demo,1,0,90,0
64,10,0,catch,0,0,90,0
65,10,0,seq,0,0,90,0
66,10,0,seq,2,0,90,0
67,10,0,seq,1,0,90,0
68,10,0,catch,2,0,90,0
69,11,1,demo,1,0,45,90
70,11,1,catch,0,0,45,90
71,11,1,seq,0,0,45,90
72,11,1,catch,2,0,45,90
73,11,1,seq,2,0,45,90
74,11,1,seq,1,0,45,90
